Heading ,Detail,article link: https://en.wikipedia.org/wiki/Pakistan article name: Pakistan
Capital,Islamabad33°41′30″N 73°03′00″E﻿ / ﻿33.69167°N 73.05000°E﻿ / 33.69167; 73.05000,                                                                                 note
Largest city,Karachi24°51′36″N 67°00′36″E﻿ / ﻿24.86000°N 67.01000°E﻿ / 24.86000; 67.01000,                           this data can be used to train a bot about country's history
Official languages,UrduEnglish[a],
Native languages,Over 77 languages[4],
Ethnic groups ,See below,
Religion ,96.5% Islam (official)[5]2.1% Hinduism1.3% Christianity0.1% other,
Demonym(s),Pakistani,
Government,Federal Islamic parliamentary republic,
• President ,Arif Alvi,
• Prime Minister ,Anwaar ul Haq Kakar (caretaker),
• Chairman of the Senate ,Sadiq Sanjrani,
• Speaker of the National Assembly ,Raja Pervaiz Ashraf,
• Chief Justice ,Qazi Faez Isa,
Legislature,Parliament,
• Upper house,Senate,
• Lower house,National Assembly,
• Declaration ,23-Mar-40,
• Recognized dominion ,14-Aug-47,
• Republic ,23-Mar-56,
• Last territory's acquisition ,08-Dec-58,
• Eastern territory withdrawn ,16-Dec-71,
• Current constitution ,14-Aug-73,
• Total,"881,913 km2 (340,509 sq mi)[b][7] (33rd)",
• Water (%),2.86,
• 2023 census,"241,499,431[c] (5th)",
• Density,273.8/km2 (709.1/sq mi) (56th),
GDP (PPP),2023 estimate,
• Total, $1.568 trillion[9] (24th),
• Per capita," $6,773[9] (138th)",
GDP (nominal),2023 estimate,
• Total, $340.636 billion[9] (46th),
• Per capita," $1,471[9] (161st)",
Gini (2018), 31.6[10]medium,
HDI (2022), 0.544[11]low · 161st,
Currency,Pakistani rupee (₨) (PKR),
Time zone,UTC+05:00 (PKT),
,DST is not observed,
Date format,dd-mm-yyyy[d],
Driving side,left[12],
Calling code,92,
ISO 3166 code,PK,
Internet TLD,.pkپاکستان.,
"
",,
"
",,
"Pakistan,[e] officially the Islamic Republic of Pakistan,[f] is a country in South Asia. It is the fifth-most populous country, with a population of over 241.5 million, having the largest Muslim population as of 2023.[8] Islamabad is the nation's capital, while Karachi is its largest city and financial centre. Pakistan is the 33rd-largest country by area, being the second largest in South Asia. Bounded by the Arabian Sea on the south, the Gulf of Oman on the southwest, and the Sir Creek on the southeast, it shares land borders with India to the east; Afghanistan to the west; Iran to the southwest; and China to the northeast. It shares a maritime border with Oman in the Gulf of Oman, and is separated from Tajikistan in the northwest by Afghanistan's narrow Wakhan Corridor.
",,
"Pakistan is the site of several ancient cultures, including the 8,500-year-old Neolithic site of Mehrgarh in Balochistan,[13] the Indus Valley civilisation of the Bronze Age,[14][15] and the ancient Gandhara civilisation.[16] The regions that comprise the modern state of Pakistan were the realm of multiple empires and dynasties, including the Achaemenid, the Maurya, the Kushan, the Gupta;[17] the Umayyad Caliphate in its southern regions, the Samma, the Hindu Shahis, the Shah Miris, the Ghaznavids, the Delhi Sultanate, the Mughals,[18] and most recently, the British Raj from 1858 to 1947.
",,
"Spurred by the Pakistan Movement, which sought a homeland for the Muslims of British India, and election victories in 1946 by the All-India Muslim League, Pakistan gained independence in 1947 after the Partition of the British Indian Empire, which awarded separate statehood to its Muslim-majority regions and was accompanied by an unparalleled mass migration and loss of life.[19] Initially a Dominion of the British Commonwealth, Pakistan officially drafted its constitution in 1956, and emerged as a declared Islamic republic. In 1971, the exclave of East Pakistan seceded as the new country of Bangladesh after a nine-month-long civil war. In the following four decades, Pakistan has been ruled by governments whose descriptions, although complex, commonly alternated between civilian and military, democratic and authoritarian, relatively secular and Islamist.[20] Pakistan elected a civilian government in 2008, and in 2010 adopted a parliamentary system with periodic elections.[21]
",,
"Pakistan is considered a middle power nation,[22][23][24][25][26][27] with the world's sixth-largest standing armed forces. It is a declared nuclear-weapons state, and is ranked amongst the emerging and growth-leading economies,[28] with a large and rapidly-growing middle class.[29] Pakistan's political history since independence has been characterized by periods of significant economic and military growth as well as those of political and economic instability. It is an ethnically and linguistically diverse country, with similarly diverse geography and wildlife. The country continues to face challenges, including poverty, illiteracy, corruption, and terrorism.[30] Pakistan is a member of the United Nations, the Shanghai Cooperation Organisation, the Organisation of Islamic Cooperation, the Commonwealth of Nations, the South Asian Association for Regional Cooperation, and the Islamic Military Counter-Terrorism Coalition, and is designated as a major non-NATO ally by the United States.
",,
"The name Pakistan was coined by Choudhry Rahmat Ali, a Pakistan Movement activist, who in January 1933 first published it (originally as ""Pakstan"") in a pamphlet Now or Never, using it as an acronym.[31] Rahmat Ali explained: ""It is composed of letters taken from the names of all our homelands, Indian and Asian, Panjab, Afghania, Kashmir, Sindh, and Baluchistan."" He added, ""Pakistan is both a Persian and Urdu word... It means the land of the Paks, the spiritually pure and clean.""[32] Etymologists note that پاک pāk, is 'pure' in Persian and Pashto[33] and the Persian suffix ـستان -stan means 'land' or 'place of'.[34][35][36][37]
",,
"Rahmat Ali's concept of Pakistan only related to the north-west area of the Indian subcontinent. He also proposed the name ""Banglastan"" for the Muslim areas of Bengal and ""Osmanistan"" for Hyderabad State, as well as a political federation between the three.[38][39]
",,
"Some of the earliest ancient human civilizations in South Asia originated from areas encompassing present-day Pakistan.[40] The earliest known inhabitants in the region were Soanian during the Lower Paleolithic, of whom stone tools have been found in the Soan Valley of Punjab.[41] The Indus region, which covers most of the present-day Pakistan, was the site of several successive ancient cultures including the Neolithic (7000–4300 BCE) site of Mehrgarh,[42][43][44] and the 5,000-year history of urban life in South Asia to the various sites of the Indus Valley Civilization, including Mohenjo Daro and Harappa.[45][46]
",,
