Heading,Detail,,article link: https://en.wikipedia.org/wiki/Joseph_Stalin
Preceded by,Vyacheslav Molotov (as Responsible Secretary),,article name: Joseph Stalin
Succeeded by,Nikita Khrushchev (as First Secretary),,this data can be used to train a bot about history leader
First Deputy,Nikolai VoznesenskyVyacheslav MolotovNikolai Bulganin,,
Preceded by,Vyacheslav Molotov,,
Succeeded by,Georgy Malenkov,,
Premier,Himself,,
Preceded by,Semyon Timoshenko,,
Succeeded by,Nikolai Bulganin,,
Premier,Vladimir Lenin,,
Preceded by,Office established,,
Succeeded by,Office abolished,,
Born,"Ioseb Besarionis dze Jughashvili[d]18 December [O.S. 6 December] 1878Gori, Tiflis Governorate, Russian Empire",,
Died,"5 March 1953(1953-03-05) (aged 74)Moscow, Russian SFSR, Soviet Union",,
Resting place,"
Lenin's Mausoleum, Moscow (1953‍–‍1961)
Kremlin Wall Necropolis, Moscow (since 1961)
",,
Political party,"CPSU[e] (from 1912)
",,
Other politicalaffiliations,"
RSDLP (1898‍–‍1912; Bolshevik faction from 1903)
",,
Spouses,"

Ekaterine Svanidze
​ ​(m. 1906; died 1907)​

Nadezhda Alliluyeva
​ ​(m. 1919; died 1932)​
",,
Children,"
Yakov Dzhugashvili
Konstantin Kuzakov[1]
Alexander Davydov[2]
Vasily Stalin
Svetlana Alliluyeva
Artyom Sergeyev (adopted)
",,
Parents,"
Besarion Jughashvili
Ekaterine Geladze
",,
Alma mater,Tbilisi Spiritual Seminary,,
Awards,Full list,,
Signature,,,
Nicknames,"
Koba
Soso
",,
Allegiance,"
Soviet Russia
Soviet Union
",,
Branch/service,"
Red Army
Soviet Armed Forces
",,
Years of service,"
1918–1920
1941–1953
",,
Rank,Generalissimus (from 1945),,
Commands,Soviet Armed Forces (from 1941),,
Battles/wars,"
Russian Civil War
Polish–Soviet War
Winter War
World War II
",,
"
",,,
"
",,,
"Joseph Vissarionovich Stalin[g][h] (born Ioseb Besarionis dze Jughashvili;[d] 18 December [O.S. 6 December] 1878 – 5 March 1953) was a Soviet revolutionary and politician who was the leader of the Soviet Union from 1924 until his death in 1953. He held power as General Secretary of the Communist Party of the Soviet Union (1922–1952) and Chairman of the Council of Ministers of the Soviet Union (1941–1953). Initially governing the country as part of a collective leadership, he consolidated power to become a dictator by the 1930s. Ideologically adhering to the Leninist interpretation of Marxism, he formalised these ideas as Marxism–Leninism, while his own policies are called Stalinism.
",,,
"Born into a poor family in Gori in what was then the Russian Empire, Stalin attended the Tbilisi Spiritual Seminary before joining the Marxist Russian Social Democratic Labour Party. He edited the party's newspaper, Pravda, and raised funds for Vladimir Lenin's Bolshevik faction via robberies, kidnappings and protection rackets. Repeatedly arrested, he underwent several internal exiles to Siberia. After the Bolsheviks seized power in the October Revolution and created a one-party state under the new Communist Party in 1917, Stalin joined its governing Politburo. Serving in the Russian Civil War before overseeing the Soviet Union's establishment in 1922, Stalin assumed leadership over the country following Lenin's death in 1924. Under Stalin, socialism in one country became a central tenet of the party's ideology. As a result of his Five-Year Plans, the country underwent agricultural collectivisation and rapid industrialisation, creating a centralised command economy. Severe disruptions to food production contributed to the famine of 1930–33, including the Asharshylyk in Kazakhstan and the Holodomor in Ukraine. To eradicate accused ""enemies of the working class"", Stalin instituted the Great Purge, in which over a million were imprisoned, largely in the Gulag system of forced labour camps, and at least 700,000 executed between 1934 and 1939. By 1937, he had absolute control over the party and government.
",,,
